Variable,Importance,Sign,method,area,month,resp,StDev
moist_med,0.06994798043430954,NA,perm_rmse,MAL,1,T1_mean,0.03458445577389009
altitude,0.8689700128737544,NA,pdp,MAL,1,T1_mean,NA
snow_days,1.1063106920296666,NA,pdp,MAL,1,T1_mean,NA
tpi100,0.2926912492718147,NA,pdp,MAL,1,T1_mean,NA
canopy_cover2m_10m,0.1576356724558109,NA,pdp,MAL,1,T1_mean,NA
moist_med,0.2871027810528098,NA,pdp,MAL,1,T1_mean,NA
altitude,6.386451518089365,NEG,tstat,MAL,1,T1_absmin,NA
snow_days,5.06083479842115,POS,tstat,MAL,1,T1_absmin,NA
tpi100,2.0785938679101497,NEG,tstat,MAL,1,T1_absmin,NA
canopy_cover2m_10m,1.9489241913397894,POS,tstat,MAL,1,T1_absmin,NA
moist_med,2.7485747816453294,POS,tstat,MAL,1,T1_absmin,NA
altitude,0.5448156561522937,NA,perm_r2,MAL,1,T1_absmin,0.043490463538666056
snow_days,0.21804924587216223,NA,perm_r2,MAL,1,T1_absmin,0.046661711834746725
tpi100,0.03090424760601739,NA,perm_r2,MAL,1,T1_absmin,0.016491829394275945
canopy_cover2m_10m,0.07510155371276661,NA,perm_r2,MAL,1,T1_absmin,0.026951663012124944
moist_med,0.07209037836324576,NA,perm_r2,MAL,1,T1_absmin,0.025528753846404816
altitude,0.8137937048645326,NA,perm_rmse,MAL,1,T1_absmin,0.0814426989556928
snow_days,0.3403741762766096,NA,perm_rmse,MAL,1,T1_absmin,0.06380370931006547
tpi100,0.04999857531257575,NA,perm_rmse,MAL,1,T1_absmin,0.02950198207605135
canopy_cover2m_10m,0.0897083039732071,NA,perm_rmse,MAL,1,T1_absmin,0.03273371639568013
moist_med,0.08667305971005053,NA,perm_rmse,MAL,1,T1_absmin,0.03284289049925326
altitude,1.0769191118967432,NA,pdp,MAL,1,T1_absmin,NA
snow_days,1.6374731901536541,NA,pdp,MAL,1,T1_absmin,NA
tpi100,0.41510382381552563,NA,pdp,MAL,1,T1_absmin,NA
canopy_cover2m_10m,0.2197833408992974,NA,pdp,MAL,1,T1_absmin,NA
moist_med,0.3762191215459255,NA,pdp,MAL,1,T1_absmin,NA
altitude,6.330672088389725,NEG,tstat,MAL,1,T1_meanmax,NA
snow_days,4.014809781078477,POS,tstat,MAL,1,T1_meanmax,NA
tpi100,1.8505502714144868,NEG,tstat,MAL,1,T1_meanmax,NA
canopy_cover2m_10m,1.7120813584625136,POS,tstat,MAL,1,T1_meanmax,NA
moist_med,2.5929875283813066,POS,tstat,MAL,1,T1_meanmax,NA
altitude,0.5591572166715048,NA,perm_r2,MAL,1,T1_meanmax,0.05134078497804146
snow_days,0.14814745905539456,NA,perm_r2,MAL,1,T1_meanmax,0.05315967695938601
tpi100,0.023941949431384568,NA,perm_r2,MAL,1,T1_meanmax,0.01531489106854522
canopy_cover2m_10m,0.05012009259518176,NA,perm_r2,MAL,1,T1_meanmax,0.02233041525470675
moist_med,0.06811148542704966,NA,perm_r2,MAL,1,T1_meanmax,0.027801340736544198
altitude,0.5920277811825756,NA,perm_rmse,MAL,1,T1_meanmax,0.0766322205059619
snow_days,0.1651070511991774,NA,perm_rmse,MAL,1,T1_meanmax,0.027233413937547246
tpi100,0.030872815628595916,NA,perm_rmse,MAL,1,T1_meanmax,0.019327604398752266
canopy_cover2m_10m,0.05423806828300507,NA,perm_rmse,MAL,1,T1_meanmax,0.014154015897554446
moist_med,0.0681586989327754,NA,perm_rmse,MAL,1,T1_meanmax,0.01982336301125944
altitude,0.8454415322874453,NA,pdp,MAL,1,T1_meanmax,NA
snow_days,1.0287913546049874,NA,pdp,MAL,1,T1_meanmax,NA
tpi100,0.29268352363366906,NA,pdp,MAL,1,T1_meanmax,NA
canopy_cover2m_10m,0.15290951756784582,NA,pdp,MAL,1,T1_meanmax,NA
moist_med,0.2810891165902405,NA,pdp,MAL,1,T1_meanmax,NA
altitude,6.3722704964196915,NEG,tstat,MAL,1,T1_meanmin,NA
snow_days,4.398377905217759,POS,tstat,MAL,1,T1_meanmin,NA
tpi100,1.774721706361406,NEG,tstat,MAL,1,T1_meanmin,NA
canopy_cover2m_10m,1.7400663258784712,POS,tstat,MAL,1,T1_meanmin,NA
moist_med,2.5780746669202896,POS,tstat,MAL,1,T1_meanmin,NA
altitude,0.5663608845064182,NA,perm_r2,MAL,1,T1_meanmin,0.017330118567007027
snow_days,0.17758090828193807,NA,perm_r2,MAL,1,T1_meanmin,0.030422118652944106
tpi100,0.03361054898174447,NA,perm_r2,MAL,1,T1_meanmin,0.017829262611097286
canopy_cover2m_10m,0.05190311700785281,NA,perm_r2,MAL,1,T1_meanmin,0.01999795614826305
moist_med,0.06983265097756317,NA,perm_r2,MAL,1,T1_meanmin,0.015416118918367439
altitude,0.610034653848758,NA,perm_rmse,MAL,1,T1_meanmin,0.07081263193262388
snow_days,0.24783385555824794,NA,perm_rmse,MAL,1,T1_meanmin,0.02710743927008745
tpi100,0.032602970697360546,NA,perm_rmse,MAL,1,T1_meanmin,0.0154796894488228
canopy_cover2m_10m,0.05745540835126578,NA,perm_rmse,MAL,1,T1_meanmin,0.018485848652137763
moist_med,0.0699677655919171,NA,perm_rmse,MAL,1,T1_meanmin,0.020332036252770264
altitude,0.8905523870236829,NA,pdp,MAL,1,T1_meanmin,NA
snow_days,1.1794685976630506,NA,pdp,MAL,1,T1_meanmin,NA
tpi100,0.2937373400759073,NA,pdp,MAL,1,T1_meanmin,NA
canopy_cover2m_10m,0.1626325349311954,NA,pdp,MAL,1,T1_meanmin,NA
moist_med,0.2924627796445687,NA,pdp,MAL,1,T1_meanmin,NA
altitude,6.189366851203361,NEG,tstat,MAL,1,T2_mean,NA
snow_days,4.500119355894227,POS,tstat,MAL,1,T2_mean,NA
tpi100,1.4839847323954631,NEG,tstat,MAL,1,T2_mean,NA
canopy_cover2m_10m,1.789410882953323,POS,tstat,MAL,1,T2_mean,NA
moist_med,3.112600702317488,POS,tstat,MAL,1,T2_mean,NA
altitude,0.525778544129391,NA,perm_r2,MAL,1,T2_mean,0.02917969009897509
snow_days,0.19023345726597182,NA,perm_r2,MAL,1,T2_mean,0.043105648812628516
tpi100,0.023239478018023497,NA,perm_r2,MAL,1,T2_mean,0.011145179480749692
canopy_cover2m_10m,0.05028979333913432,NA,perm_r2,MAL,1,T2_mean,0.014167566616165547
moist_med,0.10349313650973022,NA,perm_r2,MAL,1,T2_mean,0.028042558979929546
altitude,0.653867583276259,NA,perm_rmse,MAL,1,T2_mean,0.05793280018894787
snow_days,0.2521241643947185,NA,perm_rmse,MAL,1,T2_mean,0.04849893777125751
tpi100,0.022393221969186628,NA,perm_rmse,MAL,1,T2_mean,0.01879237999610731
canopy_cover2m_10m,0.06646459040212303,NA,perm_rmse,MAL,1,T2_mean,0.021896296618193502
moist_med,0.11838278759888787,NA,perm_rmse,MAL,1,T2_mean,0.04018457846596365
altitude,0.9382390396205658,NA,pdp,MAL,1,T2_mean,NA
snow_days,1.308940424482826,NA,pdp,MAL,1,T2_mean,NA
tpi100,0.26641601964085143,NA,pdp,MAL,1,T2_mean,NA
canopy_cover2m_10m,0.181406861240968,NA,pdp,MAL,1,T2_mean,NA
moist_med,0.38300154777989365,NA,pdp,MAL,1,T2_mean,NA
altitude,6.163924531656946,NEG,tstat,MAL,1,T2_absmin,NA
snow_days,5.972079523850841,POS,tstat,MAL,1,T2_absmin,NA
tpi100,1.576605422095815,NEG,tstat,MAL,1,T2_absmin,NA
canopy_cover2m_10m,2.1238649050651586,POS,tstat,MAL,1,T2_absmin,NA
moist_med,3.1697153675900718,POS,tstat,MAL,1,T2_absmin,NA
altitude,0.5271499929809463,NA,perm_r2,MAL,1,T2_absmin,0.04156778815856815
snow_days,0.28480131663616565,NA,perm_r2,MAL,1,T2_absmin,0.055643847734229375
tpi100,0.02680617788891021,NA,perm_r2,MAL,1,T2_absmin,0.01070769573990313
canopy_cover2m_10m,0.07759712582866822,NA,perm_r2,MAL,1,T2_absmin,0.02071360904850203
moist_med,0.09177558678378704,NA,perm_r2,MAL,1,T2_absmin,0.024671576005856104
altitude,0.9401733498554097,NA,perm_rmse,MAL,1,T2_absmin,0.11187977725935883
snow_days,0.5542211063716623,NA,perm_rmse,MAL,1,T2_absmin,0.07567273155226423
tpi100,0.039691892268045995,NA,perm_rmse,MAL,1,T2_absmin,0.022968187888365924
canopy_cover2m_10m,0.11598610438187254,NA,perm_rmse,MAL,1,T2_absmin,0.030331630887720312
moist_med,0.1817775202560879,NA,perm_rmse,MAL,1,T2_absmin,0.057959782544349754
altitude,1.3316790452506406,NA,pdp,MAL,1,T2_absmin,NA
snow_days,2.4756908291591477,NA,pdp,MAL,1,T2_absmin,NA
tpi100,0.4033935004238714,NA,pdp,MAL,1,T2_absmin,NA
canopy_cover2m_10m,0.30686368883373283,NA,pdp,MAL,1,T2_absmin,NA
moist_med,0.5558688804791527,NA,pdp,MAL,1,T2_absmin,NA
altitude,6.200292759557953,NEG,tstat,MAL,1,T2_meanmax,NA
snow_days,4.181202873600242,POS,tstat,MAL,1,T2_meanmax,NA
tpi100,1.5801317681817748,NEG,tstat,MAL,1,T2_meanmax,NA
canopy_cover2m_10m,1.7616287827606318,POS,tstat,MAL,1,T2_meanmax,NA
moist_med,3.1492085510097945,POS,tstat,MAL,1,T2_meanmax,NA
altitude,0.5406028178991761,NA,perm_r2,MAL,1,T2_meanmax,0.02932951485399109
snow_days,0.16024684326113572,NA,perm_r2,MAL,1,T2_meanmax,0.021429123843749037
tpi100,0.022757175852522758,NA,perm_r2,MAL,1,T2_meanmax,0.015332256517687558
canopy_cover2m_10m,0.06850770441224978,NA,perm_r2,MAL,1,T2_meanmax,0.020193916144805025
moist_med,0.10955844672884732,NA,perm_r2,MAL,1,T2_meanmax,0.03452580435912085
altitude,0.6238728438127555,NA,perm_rmse,MAL,1,T2_meanmax,0.08938391987328315
snow_days,0.20343804220806228,NA,perm_rmse,MAL,1,T2_meanmax,0.03798123385414612
tpi100,0.0281572888584821,NA,perm_rmse,MAL,1,T2_meanmax,0.011975055704608812
canopy_cover2m_10m,0.05634316690914905,NA,perm_rmse,MAL,1,T2_meanmax,0.014926350157820206
moist_med,0.1118706294607136,NA,perm_rmse,MAL,1,T2_meanmax,0.02614236860656744
altitude,0.8823243975542725,NA,pdp,MAL,1,T2_meanmax,NA
snow_days,1.1416839743917455,NA,pdp,MAL,1,T2_meanmax,NA
tpi100,0.26630113917024756,NA,pdp,MAL,1,T2_meanmax,NA
canopy_cover2m_10m,0.16765127063093313,NA,pdp,MAL,1,T2_meanmax,NA
moist_med,0.3637703994618328,NA,pdp,MAL,1,T2_meanmax,NA
altitude,6.178377147364049,NEG,tstat,MAL,1,T2_meanmin,NA
snow_days,4.8687958773686475,POS,tstat,MAL,1,T2_meanmin,NA
tpi100,1.3916510784873666,NEG,tstat,MAL,1,T2_meanmin,NA
canopy_cover2m_10m,1.8051901678791988,POS,tstat,MAL,1,T2_meanmin,NA
moist_med,3.05263593163879,POS,tstat,MAL,1,T2_meanmin,NA
altitude,0.5360133066432166,NA,perm_r2,MAL,1,T2_meanmin,0.02164151252192733
snow_days,0.2082140069697932,NA,perm_r2,MAL,1,T2_meanmin,0.0376392516066204
tpi100,0.022425101786794875,NA,perm_r2,MAL,1,T2_meanmin,0.013015802127323743
canopy_cover2m_10m,0.058651336715259086,NA,perm_r2,MAL,1,T2_meanmin,0.02544859534404544
moist_med,0.09417576901460947,NA,perm_r2,MAL,1,T2_meanmin,0.024436941822228823
altitude,0.7181228117109292,NA,perm_rmse,MAL,1,T2_meanmin,0.0715127621638822
snow_days,0.2817309742543599,NA,perm_rmse,MAL,1,T2_meanmin,0.04490781864079549
tpi100,0.018237612522147496,NA,perm_rmse,MAL,1,T2_meanmin,0.016929315543102088
canopy_cover2m_10m,0.07883657510205311,NA,perm_rmse,MAL,1,T2_meanmin,0.019664374673418233
moist_med,0.14161139289052635,NA,perm_rmse,MAL,1,T2_meanmin,0.0259347493303127
altitude,1.0055757068188877,NA,pdp,MAL,1,T2_meanmin,NA
snow_days,1.5205142594514516,NA,pdp,MAL,1,T2_meanmin,NA
tpi100,0.26824667376898076,NA,pdp,MAL,1,T2_meanmin,NA
canopy_cover2m_10m,0.19648964884397968,NA,pdp,MAL,1,T2_meanmin,NA
moist_med,0.4032972049143183,NA,pdp,MAL,1,T2_meanmin,NA
altitude,5.807554092996563,NEG,tstat,MAL,1,T3_mean,NA
snow_days,5.145102424509032,POS,tstat,MAL,1,T3_mean,NA
canopy_cover2m_10m,1.9323823329894636,POS,tstat,MAL,1,T3_mean,NA
moist_med,2.84657482418933,POS,tstat,MAL,1,T3_mean,NA
altitude,0.4778683277562531,NA,perm_r2,MAL,1,T3_mean,0.03596267841889613
snow_days,0.24077510291830057,NA,perm_r2,MAL,1,T3_mean,0.0487549455677921
canopy_cover2m_10m,0.07300336848746873,NA,perm_r2,MAL,1,T3_mean,0.024649703586470763
moist_med,0.08681158308080651,NA,perm_r2,MAL,1,T3_mean,0.0347809956663515
altitude,0.8219438313721054,NA,perm_rmse,MAL,1,T3_mean,0.0867064221824449
snow_days,0.4157912288765046,NA,perm_rmse,MAL,1,T3_mean,0.07007915806210466
canopy_cover2m_10m,0.11449623819488892,NA,perm_rmse,MAL,1,T3_mean,0.032367908929340494
moist_med,0.14076889844653906,NA,perm_rmse,MAL,1,T3_mean,0.03904557341222354
altitude,1.1246944614081995,NA,pdp,MAL,1,T3_mean,NA
snow_days,1.9239539115467448,NA,pdp,MAL,1,T3_mean,NA
canopy_cover2m_10m,0.2553722529437035,NA,pdp,MAL,1,T3_mean,NA
moist_med,0.45365438979280714,NA,pdp,MAL,1,T3_mean,NA
altitude,5.621867879720331,NEG,tstat,MAL,1,T3_absmin,NA
snow_days,6.550863325343717,POS,tstat,MAL,1,T3_absmin,NA
canopy_cover2m_10m,2.06821327011016,POS,tstat,MAL,1,T3_absmin,NA
moist_med,2.5839361696673646,POS,tstat,MAL,1,T3_absmin,NA
altitude,0.4672894433158136,NA,perm_r2,MAL,1,T3_absmin,0.032226548638076113
snow_days,0.36589608399080437,NA,perm_r2,MAL,1,T3_absmin,0.04481271704775506
canopy_cover2m_10m,0.08360575739865826,NA,perm_r2,MAL,1,T3_absmin,0.02547430627194648
moist_med,0.07928237255779877,NA,perm_r2,MAL,1,T3_absmin,0.028268387524569064
altitude,1.4497799620207408,NA,perm_rmse,MAL,1,T3_absmin,0.23832945400133285
snow_days,1.1681717201116648,NA,perm_rmse,MAL,1,T3_absmin,0.18205319497707304
canopy_cover2m_10m,0.24176461487527662,NA,perm_rmse,MAL,1,T3_absmin,0.05426295304759378
moist_med,0.23193268899840183,NA,perm_rmse,MAL,1,T3_absmin,0.07621700054185451
altitude,2.118876346350436,NA,pdp,MAL,1,T3_absmin,NA
snow_days,4.767413951871615,NA,pdp,MAL,1,T3_absmin,NA
canopy_cover2m_10m,0.5319363329570835,NA,pdp,MAL,1,T3_absmin,NA
moist_med,0.8014344002600077,NA,pdp,MAL,1,T3_absmin,NA
altitude,5.813011936103092,NEG,tstat,MAL,1,T3_meanmax,NA
snow_days,4.416200096834704,POS,tstat,MAL,1,T3_meanmax,NA
canopy_cover2m_10m,1.9810394950049353,POS,tstat,MAL,1,T3_meanmax,NA
moist_med,3.073954156190774,POS,tstat,MAL,1,T3_meanmax,NA
altitude,0.5069254881246695,NA,perm_r2,MAL,1,T3_meanmax,0.031846002161973655
snow_days,0.17923571061905544,NA,perm_r2,MAL,1,T3_meanmax,0.04895066638674515
canopy_cover2m_10m,0.07821348634283268,NA,perm_r2,MAL,1,T3_meanmax,0.02421525134524026
moist_med,0.11341862817775637,NA,perm_r2,MAL,1,T3_meanmax,0.033791037688045866
altitude,0.6444609482137346,NA,perm_rmse,MAL,1,T3_meanmax,0.06593026661589083
snow_days,0.23774873758551018,NA,perm_rmse,MAL,1,T3_meanmax,0.05132529056498933
canopy_cover2m_10m,0.08847877329118421,NA,perm_rmse,MAL,1,T3_meanmax,0.031599089166755974
moist_med,0.12231153890994677,NA,perm_rmse,MAL,1,T3_meanmax,0.038482716136393785
altitude,0.9438716411368375,NA,pdp,MAL,1,T3_meanmax,NA
snow_days,1.384585606860248,NA,pdp,MAL,1,T3_meanmax,NA
canopy_cover2m_10m,0.21950489719336097,NA,pdp,MAL,1,T3_meanmax,NA
moist_med,0.4107431507752138,NA,pdp,MAL,1,T3_meanmax,NA
altitude,5.669864858864799,NEG,tstat,MAL,1,T3_meanmin,NA
snow_days,5.699761918876208,POS,tstat,MAL,1,T3_meanmin,NA
canopy_cover2m_10m,1.880457031328034,POS,tstat,MAL,1,T3_meanmin,NA
moist_med,2.6098656210447233,POS,tstat,MAL,1,T3_meanmin,NA
altitude,0.46273537071748627,NA,perm_r2,MAL,1,T3_meanmin,0.04776470596351747
snow_days,0.2831819262152101,NA,perm_r2,MAL,1,T3_meanmin,0.04025851566342045
canopy_cover2m_10m,0.07404278063653692,NA,perm_r2,MAL,1,T3_meanmin,0.026885492269474665
moist_med,0.08273688388934643,NA,perm_r2,MAL,1,T3_meanmin,0.0215107966578371
altitude,0.9586739211209213,NA,perm_rmse,MAL,1,T3_meanmin,0.11169306254307869
snow_days,0.6064964694487123,NA,perm_rmse,MAL,1,T3_meanmin,0.05624608601703116
canopy_cover2m_10m,0.12125539408344355,NA,perm_rmse,MAL,1,T3_meanmin,0.0396134815147455
moist_med,0.14899336637269595,NA,perm_rmse,MAL,1,T3_meanmin,0.038248162949888656
altitude,1.3422044775451156,NA,pdp,MAL,1,T3_meanmin,NA
snow_days,2.6053257851236644,NA,pdp,MAL,1,T3_meanmin,NA
canopy_cover2m_10m,0.3037727037682084,NA,pdp,MAL,1,T3_meanmin,NA
moist_med,0.5084231804915066,NA,pdp,MAL,1,T3_meanmin,NA
wetland_prop_100m,3.1732209049699387,NEG,tstat,MAL,1,T4_mean,NA
water_prop_500m,2.8944769789804465,NEG,tstat,MAL,1,T4_mean,NA
wetland_prop_100m,0.30805316422041745,NA,perm_r2,MAL,1,T4_mean,0.05479256442655484
water_prop_500m,0.21135026859160094,NA,perm_r2,MAL,1,T4_mean,0.12262474616092427
wetland_prop_100m,0.1913135538590719,NA,perm_rmse,MAL,1,T4_mean,0.04690019034275087
water_prop_500m,0.1366101088515973,NA,perm_rmse,MAL,1,T4_mean,0.056186305137718925
wetland_prop_100m,0.4488369618119925,NA,pdp,MAL,1,T4_mean,NA
water_prop_500m,0.4414995285563459,NA,pdp,MAL,1,T4_mean,NA
altitude,3.5042124933925463,POS,tstat,MAL,1,T4_absmin,NA
wetland_prop_100m,2.8678539645091363,NEG,tstat,MAL,1,T4_absmin,NA
water_prop_500m,2.8678060157791565,NEG,tstat,MAL,1,T4_absmin,NA
altitude,0.41806835262595154,NA,perm_r2,MAL,1,T4_absmin,0.03950738924782667
wetland_prop_100m,0.2148237459501463,NA,perm_r2,MAL,1,T4_absmin,0.04821834867003006
water_prop_500m,0.26569411783509106,NA,perm_r2,MAL,1,T4_absmin,0.056073969242253635
altitude,1.85827426424088,NA,perm_rmse,MAL,1,T4_absmin,0.5810281590107088
wetland_prop_100m,1.2308235389772575,NA,perm_rmse,MAL,1,T4_absmin,0.2830538240950067
water_prop_500m,1.2107248805164197,NA,perm_rmse,MAL,1,T4_absmin,0.2103730270035248
altitude,3.6671949210359087,NA,pdp,MAL,1,T4_absmin,NA
wetland_prop_100m,2.76477705151236,NA,pdp,MAL,1,T4_absmin,NA
water_prop_500m,3.1070197522819507,NA,pdp,MAL,1,T4_absmin,NA
altitude,4.407391536031832,NEG,tstat,MAL,1,T4_meanmax,NA
water_prop_500m,1.6011961321997346,NEG,tstat,MAL,1,T4_meanmax,NA
canopy_cover2m_10m,1.3984470044897879,NEG,tstat,MAL,1,T4_meanmax,NA
moist_med,2.0717722506771516,NEG,tstat,MAL,1,T4_meanmax,NA
altitude,0.46731040095974863,NA,perm_r2,MAL,1,T4_meanmax,0.02766569446552659
water_prop_500m,0.09457582117546455,NA,perm_r2,MAL,1,T4_meanmax,0.06418440350984618
canopy_cover2m_10m,0.08665213113300985,NA,perm_r2,MAL,1,T4_meanmax,0.050121741974311546
moist_med,0.17356011069956598,NA,perm_r2,MAL,1,T4_meanmax,0.0590887080287012
altitude,0.27233768613993264,NA,perm_rmse,MAL,1,T4_meanmax,0.04148956749267703
